battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,55.990.000,32GB,DDR5,3072 x 1920,14.5,1TB,1.61kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,66.990.000,96GB,DDR5,3072 x 1920,14.5,2TB,1.61kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,54.990.000,64GB,DDR5,3072 x 1920,14.5,1TB,1.61kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,20.990.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,50.690.000,32GB,DDR5,3072 x 1920,14.5,1TB,1.61kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,20.490.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,20.490.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,18.990.000,16GB,DDR4,1920 x 1080,15.6,256GB,1.7 kg
85WHr,7647MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,25.990.000,32GB,LPDDR5x,3072 x 1920,14.5,1TB,1.5 kg
85Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,Lenovo,25.990.000,32GB,LPDDR5x,2560x1600,16,1TB,1.9 kg
56Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,HP,32.990.000,16GB,DDR5,1920 x 1200,16,512GB,1.75 kg
56Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,HP,28.080.000,16GB,DDR5,1920 x 1200,16,512GB,1.75 kg
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,34.790.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
41WHrs,6400MHz,i7,1360P,Intel,"5.00GHz,",Intel®,Lenovo,39.990.000,16GB,LPDDR5,1920x1200,13.3,512GB,1.12 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,52.990.000,16GB,LPDDR5x,1920 x 1200,16.3,512GB,2.13 kg
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,36.590.000,32GB,LPDDR5,2880 x 1800,14,1TB,1.34 kg
54WHrs,5600MHz,7,8840HS,AMD,"5.10GHz,",AMD,Dell,18.990.000,16GB,DDR5,2240x1400,14.0,512GB,1.54 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,52.990.000,16GB,LPDDR5x,1920 x 1200,16.3,512GB,2.13 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,19.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
41Whr,2666MHz,i3,1305U,Intel,"4.50GHz,",Intel,Dell,13.890.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.85 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,20.990.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
57Wh,4800MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,35.990.000,32GB,LPDDR5x,2240x1400,14,512GB,1.25 kg
54,4800MHz,i7,1360P,Intel,"5.00GHz,",Intel,Dell,21.990.000,16GB,LPDDR5,2560 x 1600,14.0,512GB,1.5 kg
47Wh,5200MHz,3-100U,100U,Intel,"4.70GHz,",Intel®,Lenovo,15.910.000,16GB,DDR5,1920x1080,15.6,512GB,1.61 kg
45WHr,5200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,22.340.000,16GB(2x,DDR5,1920x1200,14.0,512GB,1.38 kg
