battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
65Whrs,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,MSI,37.990.000,32GB,DDR5,1920 x 1200,16,1TB,2.3 Kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,51.990.000,32GB,DDR5,WQXGA,18,1TB,3.00 kg
99Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Gigabyte,46.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.3 kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,67.990.000,32GB,DDR5,2560 x 1600,16,2TB,2.70 kg
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,23.490.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.08 Kg
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,24.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,20.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
80Wh,5200MHz,9,7945HX,AMD,"5.40GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.55 Kg
70Wh,3200MHz,i5,12450H,Intel,"4.70GHz,",NVIDIA®,HP,18.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.29 kg
97Wh,,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Dell,79.990.000,32GB,DDR5,2560x1600,18,1TB,4.23 kg
90WHrs,3200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR4,"1920 x 1200, WUXGA",16,512GB,2.00 Kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,66.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.62 kg
59WHrs,,5,7535HS,AMD,"4.55GHz,",NVIDIA®,Acer,22.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
80Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NNVIDIA®,Lenovo,44.990.000,32GB,DDR5,2560x1600,16,1TB,Luna Grey (Xám)
