Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
54,5600,7,8840.0,AMD,5.10,Amd,Dell,16,DDR5,2240x1400,14.0,512.0,1.54,18990000
45,5200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,22340000
60,5200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,20700000
60,5200,5,13500.0,Intel,4.70,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.38,27410000
45,5200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.38,23430000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5,2880x1800,14.0,1024.0,,36590000
50,3200,5,12500.0,Intel,4.5,Intel,Asus,16,DDR4,2880x1800,14.0,512.0,1.45,17990000
59,6400,5,8640.0,AMD,4.90,Amd,HP,16,LPDDR5,1920x1200,14.0,512.0,1.4,18990000
54,5200,7,150.0,Intel,5.40,Nvidia,Dell,16,DDR5,1920x1200,16.0,1024.0,,28990000
50,3200,9,13900.0,Intel,5.40,Intel,Asus,16,DDR4,2880x1620,15.6,512.0,1.7,24990000
3,8448,EliteX1E,,Snapdragon,3.4,Qualcomm,Asus,32,LPDDR5X,2880x1620,15.6,1024.0,1.42,34990000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,1024.0,1.62,23990000
57,6400,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.48,40990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.7,21490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,32,DDR4,1920x1080,15.6,1024.0,1.7,21990000
69.5,6400,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5x,1920x1200,14.5,512.0,1.68,46990000
71,5200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.7,20990000
52.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,,34180000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,16.0,512.0,1.81,20580000
59,6400,7,8840.0,AMD,5.10,Amd,HP,16,LPDDR5,2880x1800,14.0,1024.0,,33990000
58,4800,3,1215.0,Intel,4.40,Intel,Acer,8,DDR5,1920x1200,14.0,256.0,,10490000
71,7467,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.61,21990000
59,6400,Ultra5,125.0,Intel,4.30,Intel,HP,16,LPDDR5,2880x1800,14.0,1024.0,,31290000
42,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,14.0,512.0,,27990000
47,3200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,25990000
50,,5,7530.0,AMD,4.50,Amd,Acer,16,LPDDR4X,1920x1080,14.0,512.0,1.2,18490000
42,3200,5,1235.0,Intel,4.40,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,,19190000
85,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,2560x1600,16.0,512.0,1.9,27990000
85,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,DDR5,2560x1600,16.0,1024.0,1.9,29990000
71,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,2560x1600,16.0,1024.0,1.7,23990000
60,5600,7,8845.0,AMD,5.10,Amd,Lenovo,16,DDR5,2880x1800,14.0,1024.0,1.38,22990000
60,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,2880x1800,14.0,1024.0,1.38,22990000
71,4800,5,13500.0,Intel,4.70,Intel,Lenovo,16,DDR5,2560x1600,16.0,512.0,1.7,21990000
71,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,2560x1600,16.0,1024.0,1.7,26990000
60,5200,5,13420.0,Intel,4.60,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,18990000
71,5600,7,8845.0,AMD,5.10,Amd,Lenovo,16,DDR5,2560x1600,16.0,1024.0,1.7,23990000
50,3200,7,13700.0,Intel,5.00,Intel,Asus,16,DDR4,2880x1620,15.6,512.0,1.7,21990000
58,4800,5,1235.0,Intel,4.40,Intel,Acer,16,DDR5,1920x1200,16.0,512.0,,13990000
85,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,2560x1600,16.0,512.0,1.9,22990000
71,4800,5,12500.0,Intel,4.50,Intel,Lenovo,16,DDR5,2560x1600,16.0,512.0,1.7,18990000
57,6400,7,1355.0,Intel,5.00,Intel,Lenovo,16,LPDDR5,3840x2400,14.0,1024.0,1.38,63340000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.35,61100000
57,6400,7,1355.0,Intel,5.00,Intel,Lenovo,16,LPDDR5,3840x2400,14.0,512.0,1.38,61880000
57,6400,7,1355.0,Intel,5.00,Intel,Lenovo,32,LPDDR5,3840x2400,14.0,512.0,1.38,63520000
51.5,,7,7840.0,AMD,5.10,Amd,Lenovo,16,LPDDR5x,1920x1200,13.3,512.0,1.29,53150000
41,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.59,24490000
41,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.59,23490000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,2880x1800,14.0,1024.0,1.35,63440000
41,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1080,15.6,512.0,1.59,24490000
41,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1080,15.6,1024.0,1.59,25490000
51.5,,7,7840.0,AMD,5.10,Amd,Lenovo,32,LPDDR5x,1920x1200,13.3,1024.0,1.29,54790000
41,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.59,20790000
41,5600,Ultra5,125.0,Intel,4.50,Intel,HP,16,DDR5,1920x1080,15.6,1024.0,1.59,21590000
51.5,,7,7840.0,AMD,5.10,Amd,Lenovo,64,LPDDR5x,1920x1200,13.3,1024.0,1.29,60190000
41,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.59,19990000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.44,22520000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,23610000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.44,23790000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.44,27230000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.44,26680000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,24890000
46.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,24890000
46.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,27790000
47,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,1024.0,1.81,22890000
47,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.81,21060000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,32480000
46.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,23790000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,28500000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,29590000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,31390000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,25430000
46.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,26680000
